station_id,station_name,summary_date,fuel_model,nfdr_type,kbdi,ignition_component_max,spread_component_max,energy_release_component_max,burning_index_max,one_hr_tl_fuel_moisture_min,ten_hr_tl_fuel_moisture_min
20227,FOUR SPRINGS,8/22/2026,F,X,289,0.25,50.45,,74.41,,89.76,,172.95,,4.52,,5.95,,9.38,,10.55,,30.0,60.0,36.79367,-112.04239,6560
20303,LAKESIDE,8/22/2026,F,X,21,0.44,22.95,,31.24,,64.7,,99.8,,6.58,,9.09,,14.62,,16.85,,73.29,87.55,34.16283,-109.87639,7267
21209,SELLS,8/22/2026,F,X,516,0.02,55.37,,74.97,,90.84,,174.51,,4.32,,5.75,,9.01,,10.92,,30.0,60.0,31.91014,-111.89743,2262
21414,RUCKER,8/22/2026,F,X,62,0.4,34.69,,35.74,,81.77,,115.15,,4.22,,6.61,,10.22,,13.56,,62.89,80.93,31.76111,-109.34861,5700
20404,GREER,8/22/2026,F,X,60,0.72,14.14,,16.16,,34.97,,55.4,,7.41,,10.4,,13.76,,15.83,,162.77,144.49,34.05853,-109.44097,8240
21106,STRAY HORSE,8/22/2026,F,X,116,0.6,25.08,,43.35,,54.58,,94.51,,5.71,,8.73,,10.67,,12.14,,125.12,120.53,33.55253,-109.31719,7956
21005,COLUMBINE,8/22/2026,F,X,41,0.97,6.77,,3.46,,30.76,,24.79,,6.51,,7.86,,13.53,,17.13,,239.55,193.35,32.70389,-109.91389,9521
21502,OATMAN,8/22/2026,F,X,638,0.0,75.83,,140.06,,96.7,,234.17,,3.56,,4.32,,6.51,,7.76,,30.0,60.0,33.04994,-113.13867,1715
21302,HOPKINS,8/22/2026,F,X,449,0.28,30.12,,64.56,,76.14,,133.79,,6.56,,10.07,,10.18,,11.91,,30.0,60.0,31.67528,-110.88,7120
20507,GOODWIN MESA,8/22/2026,F,X,453,0.12,72.87,,112.87,,95.47,,215.41,,3.67,,4.62,,8.68,,11.05,,30.0,60.0,34.77614,-113.3375,4311
21010,NOON CREEK,8/22/2026,F,X,464,0.1,62.57,,77.44,,96.95,,179.12,,3.29,,4.87,,8.02,,9.98,,30.0,60.0,32.66778,-109.78806,4925
20510,SUNSET POINT,8/22/2026,F,X,622,0.04,60.94,,76.64,,96.0,,170.86,,3.55,,4.61,,7.5,,9.33,,30.0,60.0,34.18847,-112.13467,3380
21411,CARR,8/22/2026,F,X,90,0.3,37.62,,53.8,,85.98,,132.99,,4.99,,6.82,,9.55,,12.02,,31.38,60.88,31.44111,-110.28611,5400
21409,HEADQUARTERS,8/22/2026,F,X,471,0.15,49.69,,56.26,,92.61,,154.29,,4.06,,5.48,,9.63,,11.85,,30.0,60.0,32.00611,-109.35694,5400
21202,SAGUARO,8/22/2026,F,X,434,0.01,49.79,,47.92,,94.68,,144.77,,3.78,,5.03,,9.22,,11.16,,30.0,60.0,32.31111,-110.81861,2758
21007,MULESHOE RANCH,8/22/2026,F,X,376,0.11,49.95,,56.33,,91.9,,153.83,,3.94,,6.0,,9.34,,11.54,,30.0,60.0,32.40383,-110.272,4475
21104,GUTHRIE,8/22/2026,F,X,406,0.23,59.17,,149.91,,93.02,,217.56,,3.93,,5.59,,8.34,,10.22,,30.0,60.0,32.88203,-109.30931,6324
21208,SCOUT CAMP,8/22/2026,F,X,96,0.67,10.79,,19.94,,39.13,,59.44,,8.08,,8.25,,9.55,,11.96,,146.04,133.84,32.39806,-110.725,7554
55522385,TAOS PUEBLO RAWS,8/22/2026,F,X,456,0.02,24.51,,106.08,,67.73,,167.44,,8.39,,8.41,,10.78,,12.1,,30.0,60.0,36.41461,-105.55689,7135
20903,HORSE CAMP CANYON,8/22/2026,F,X,577,0.06,45.11,,79.42,,87.21,,172.24,,5.3,,5.66,,8.23,,9.94,,30.0,60.0,32.93656,-110.4935,4014
292302,DUNKEN,8/22/2026,F,X,488,0.02,71.7,,152.38,,95.25,,247.17,,3.64,,5.01,,8.06,,9.51,,30.0,60.0,32.82467,-105.18261,5431
20601,GLOBE,8/22/2026,F,X,497,0.06,60.71,,96.67,,91.43,,196.18,,4.17,,5.68,,8.69,,9.83,,30.0,60.0,33.32694,-110.76694,4137
20223,GUNSIGHT,8/22/2026,F,X,526,0.14,66.24,,88.91,,94.91,,192.02,,3.64,,5.15,,8.72,,10.72,,30.0,60.0,36.70464,-112.5835,5284
20307,NAVAJO MONUMENT,8/22/2026,F,X,202,0.14,51.78,,83.99,,87.13,,180.38,,4.8,,7.01,,10.01,,11.56,,30.0,60.0,36.67667,-110.54389,7204
292005,RESERVE,8/22/2026,F,X,458,0.1,58.39,,130.62,,85.75,,219.18,,4.56,,8.0,,13.71,,16.01,,30.0,60.0,33.71489,-108.777,5846
20906,CASA GRANDE,8/22/2026,F,X,687,0.0,71.44,,155.5,,95.85,,242.7,,3.63,,4.77,,8.43,,10.47,,30.0,60.0,32.99177,-111.53264,1412
293202,PADUCA,8/22/2026,F,X,605,0.0,69.49,,149.87,,93.46,,243.16,,3.95,,5.26,,7.91,,8.88,,30.0,60.0,32.17983,-103.722,3534
20609,HILLTOP,8/22/2026,F,X,90,0.27,47.7,,101.66,,86.03,,192.58,,4.93,,7.0,,12.24,,14.93,,30.0,60.0,33.61119,-110.41461,5732
20213,FRAZIER WELLS,8/22/2026,F,X,98,0.39,49.64,,85.71,,81.27,,174.05,,4.85,,6.01,,9.37,,11.34,,57.43,77.45,35.84551,-113.05501,6796
20309,LIMESTONE CANYON,8/22/2026,F,X,340,0.3,34.4,,49.07,,82.56,,130.48,,5.42,,8.11,,10.94,,12.43,,30.77,60.49,34.17786,-110.27663,7102
55522318,MOHAWK DUNES,8/22/2026,F,X,749,0.0,69.98,,145.14,,94.02,,237.63,,4.1,,4.4,,6.9,,8.02,,30.0,60.0,32.68878,-113.74889,524
292901,MCGREGGOR RANGE,8/22/2026,F,X,598,0.01,75.98,,102.47,,96.64,,207.11,,3.34,,4.84,,7.37,,9.35,,30.0,60.0,32.43133,-105.62181,4832
20217,YELLOW JOHN MOUNTAIN,8/22/2026,F,X,289,0.18,45.04,,54.99,,90.44,,149.38,,4.24,,6.21,,10.8,,13.48,,30.0,60.0,36.155,-113.54944,6160
290203,DEADMAN PEAK,8/22/2026,F,X,492,0.01,58.42,,144.35,,86.51,,230.42,,4.63,,7.61,,10.56,,11.66,,30.0,60.0,36.4229,-106.772,8389
292203,SMOKEY BEAR,8/22/2026,F,X,103,0.27,49.77,,92.25,,83.75,,183.77,,5.29,,7.45,,12.64,,15.58,,30.0,60.0,33.35019,-105.686,7194
21303,CANELO,8/22/2026,F,X,127,0.27,44.02,,72.69,,85.15,,156.0,,5.09,,7.8,,11.57,,14.01,,30.0,60.0,31.54972,-110.51917,4629
290705,CUBA,8/22/2026,F,X,468,0.07,57.45,,106.23,,86.11,,199.63,,4.82,,7.3,,11.11,,12.74,,30.0,60.0,35.942,-107.07739,6890
55522271,FTHL YDMA,8/22/2026,F,X,745,0.0,68.94,,154.98,,92.41,,229.63,,4.35,,4.86,,7.99,,10.22,,30.0,60.0,32.48658,-114.4635,331
291302,GRANTS,8/22/2026,F,X,130,0.46,32.86,,56.42,,66.53,,132.69,,6.02,,8.37,,13.55,,15.09,,79.7,91.63,35.24278,-107.66528,8620
292903,DRIPPING SPRINGS,8/22/2026,F,X,449,0.12,56.56,,67.13,,95.44,,169.61,,3.75,,4.64,,7.11,,9.3,,30.0,60.0,32.32225,-106.58661,5814
293101,BATDRAW,8/22/2026,F,X,566,0.0,74.44,,153.8,,96.77,,250.04,,3.48,,4.51,,6.86,,8.1,,30.0,60.0,32.17861,-104.44056,4425
290305,BLACK MESA,8/22/2026,F,X,612,0.0,51.54,,83.44,,86.18,,178.92,,4.94,,6.94,,10.43,,11.41,,30.0,60.0,36.03708,-106.04964,5762
292702,HACHITA VALLEY,8/22/2026,F,X,591,0.04,75.33,,92.02,,98.66,,199.06,,3.07,,4.29,,7.31,,9.8,,30.0,60.0,31.702,-108.34169,4290
20310,MOUNTAIN LION,8/22/2026,F,X,73,0.6,16.49,,15.41,,53.46,,64.06,,6.2,,8.14,,12.81,,15.46,,124.13,119.9,33.69511,-109.71078,7269
20215,MORMON LAKE,8/22/2026,F,X,289,0.42,23.66,,22.41,,72.02,,89.98,,5.58,,9.01,,13.15,,14.99,,67.17,83.65,34.90972,-111.43842,7094
290801,TOWER,8/22/2026,F,X,533,0.02,29.9,,67.49,,73.75,,140.57,,7.12,,7.72,,10.18,,11.16,,30.0,60.0,35.77899,-106.26611,6529
20611,SHADOW RIM,8/22/2026,F,X,449,0.18,40.55,,45.6,,86.14,,135.05,,4.69,,7.13,,11.92,,14.44,,30.0,60.0,34.40586,-111.28319,5660
20219,OAK CREEK,8/22/2026,F,X,579,0.09,37.23,,31.38,,91.46,,117.14,,4.06,,5.92,,9.46,,11.57,,30.0,60.0,34.94686,-111.75444,4804
290205,DULCE #2,8/22/2026,F,X,378,0.05,53.68,,127.25,,80.96,,211.12,,5.3,,8.98,,12.37,,12.88,,30.0,60.0,36.93519,-107.00011,6805
20224,BUCKSKIN MTN,8/22/2026,F,X,421,0.2,55.29,,84.89,,91.68,,182.44,,4.17,,5.77,,8.87,,11.05,,30.0,60.0,36.91808,-112.19981,6334
290101,WASHINGTON PASS,8/22/2026,F,X,252,0.57,13.67,,40.43,,46.83,,85.98,,7.57,,12.23,,11.8,,13.04,,114.3,113.65,36.0765,-108.8615,9384
55522251,DEVILS HILLS,8/22/2026,F,X,736,0.0,63.25,,152.97,,92.58,,226.01,,4.59,,4.22,,6.55,,7.95,,30.0,60.0,32.42483,-113.79011,836
20509,STANTON,8/22/2026,F,X,547,0.07,59.62,,83.83,,96.16,,183.37,,3.78,,4.23,,6.71,,8.66,,30.0,60.0,34.16403,-112.73486,3600
20116,UNION PASS,8/22/2026,F,X,583,0.03,74.1,,101.56,,98.0,,206.72,,3.47,,3.87,,6.44,,8.25,,30.0,60.0,35.23233,-114.38194,3590
21009,DRY LAKE,8/22/2026,F,X,387,0.35,43.3,,56.81,,83.69,,146.88,,4.69,,6.86,,10.15,,12.36,,44.44,69.19,33.35982,-109.83306,7405
55522232,CAVE CREEK,8/22/2026,F,X,544,0.03,57.57,,58.3,,96.75,,160.03,,3.4,,4.71,,7.86,,9.38,,30.0,60.0,34.0899,-111.8465,3477
290901,SANTA FE WATERSHED,8/22/2026,F,X,371,0.19,53.02,,127.95,,83.76,,214.98,,5.25,,7.95,,12.56,,13.97,,30.0,60.0,35.68686,-105.86031,7749
21207,RINCON,8/22/2026,F,X,24,0.8,11.89,,11.94,,34.29,,43.4,,6.72,,7.77,,11.24,,13.97,,187.61,160.3,32.20639,-110.54861,8209
55522326,NEVERSHINE,8/22/2026,F,X,681,0.0,85.05,,145.46,,101.36,,248.96,,2.83,,3.55,,5.48,,7.29,,30.0,60.0,36.24753,-113.88851,2165
293301,MALPAIS LAVA FLOW,8/22/2026,F,X,180,0.27,48.92,,125.36,,81.05,,209.77,,5.61,,8.3,,14.28,,16.01,,30.0,60.0,34.85181,-108.17461,7514
20602,PAYSON,8/22/2026,F,X,387,0.12,42.52,,54.0,,86.18,,146.42,,4.86,,7.06,,9.92,,11.64,,30.0,60.0,34.24614,-111.2935,5064
291402,OAK FLATS,8/22/2026,F,X,455,0.13,53.53,,94.28,,86.06,,189.14,,4.95,,6.99,,11.1,,12.65,,30.0,60.0,35.00614,-106.31583,7675
291301,BRUSHY MOUNTAIN,8/22/2026,F,X,212,0.42,34.39,,60.95,,70.05,,140.73,,5.95,,8.87,,12.45,,14.08,,67.4,83.8,34.72,-107.8484,8789
21008,BLACK HILLS,8/22/2026,F,X,664,0.03,62.23,,62.01,,98.58,,163.09,,2.99,,4.64,,6.9,,8.52,,30.0,60.0,33.08203,-109.95119,3262
292504,BURRO MOUNTAIN,8/22/2026,F,X,293,0.2,64.8,,133.46,,92.76,,200.13,,4.01,,5.54,,8.92,,11.24,,30.0,60.0,32.67203,-108.53969,6995
293305,RAMAH,8/22/2026,F,X,313,0.27,50.24,,136.89,,80.58,,217.24,,5.54,,8.66,,13.42,,15.41,,30.0,60.0,34.81947,-108.29439,7645
55522210,BAKERS TANK,8/22/2026,F,X,740,0.0,67.5,,147.2,,93.62,,240.72,,4.21,,4.32,,6.56,,7.61,,30.0,60.0,32.61528,-114.00836,563
20502,CROWN KING,8/22/2026,F,X,384,0.25,31.34,,30.11,,88.28,,112.5,,4.78,,6.06,,10.04,,12.25,,30.0,60.0,34.20336,-112.34561,6173
20511,CHERRY,8/22/2026,F,X,204,0.16,42.17,,53.79,,85.66,,145.47,,4.93,,7.11,,10.87,,12.85,,30.0,60.0,34.59661,-112.04761,5147
290401,CIMARRON,8/22/2026,F,X,221,0.59,22.4,,37.74,,51.39,,97.22,,6.79,,9.18,,13.33,,14.81,,120.71,117.72,36.60611,-105.12028,8806
21505,GOLDFIELD,8/22/2026,F,X,684,0.0,79.23,,154.03,,97.67,,240.64,,3.31,,4.55,,8.2,,10.09,,30.0,60.0,33.55531,-111.6145,1367
55522238,CIPRIANO,8/22/2026,F,X,712,0.0,64.7,,143.22,,91.1,,234.09,,4.67,,4.61,,7.0,,8.42,,30.0,60.0,32.4235,-114.16211,1042
20291,HAPPY JACK,8/22/2026,F,X,386,0.39,28.98,,41.19,,72.03,,117.66,,5.95,,9.37,,13.0,,15.56,,59.58,78.83,34.61797,-111.34239,6812
20119,MUSIC MOUNTAIN,8/22/2026,F,X,551,0.12,69.08,,147.96,,93.83,,239.2,,3.88,,5.09,,8.11,,10.31,,30.0,60.0,35.61497,-113.79428,5375
291408,SANDIA LAB,8/22/2026,F,X,264,0.08,55.79,,105.12,,86.41,,198.69,,5.07,,6.73,,9.79,,10.54,,30.0,60.0,35.00406,-106.41148,6321
290603,ZUNI BUTTES,8/22/2026,F,X,228,0.06,58.28,,140.62,,85.35,,224.89,,4.77,,7.91,,12.16,,13.39,,30.0,60.0,35.13919,-108.94131,6649
20603,PLEASANT VALLEY,8/22/2026,F,X,303,0.13,41.09,,45.97,,88.32,,137.56,,4.57,,6.54,,11.42,,13.63,,30.0,60.0,34.08858,-110.94225,5232
55522198,10K,8/22/2026,F,X,206,0.64,30.29,,50.92,,50.07,,111.06,,6.25,,8.86,,12.22,,13.51,,135.34,127.04,35.2085,-106.43586,10065
20102,FORT YUMA,8/22/2026,F,X,745,0.0,71.7,,110.61,,94.01,,212.01,,4.08,,4.67,,7.32,,9.25,,30.0,60.0,32.65222,-114.63417,185
21501,SMITH PEAK,8/22/2026,F,X,657,0.02,64.41,,82.9,,98.38,,174.05,,3.3,,4.19,,6.23,,7.89,,30.0,60.0,34.11486,-113.34733,2386
21503,AHAKHAV PRESERVE,8/22/2026,F,X,746,0.0,80.94,,115.18,,97.98,,220.15,,3.31,,4.22,,7.73,,9.65,,30.0,60.0,34.13222,-114.32917,363
292104,MAGDALENA,8/22/2026,F,X,60,0.57,23.97,,36.9,,60.11,,91.15,,5.68,,7.53,,11.46,,13.57,,113.34,113.04,33.85061,-107.539,8495
293303,BLUEWATER RIDGE,8/22/2026,F,X,213,0.47,27.43,,44.8,,65.0,,114.2,,6.3,,8.27,,12.14,,13.38,,82.82,93.61,35.19411,-108.16336,8274
290204,JARITA MESA,8/22/2026,F,X,196,0.29,44.92,,90.75,,80.33,,180.07,,5.79,,9.22,,11.88,,12.93,,30.0,60.0,36.55597,-106.10306,8864
292011,GILA CENTER RAWS,8/22/2026,F,X,277,0.11,42.44,,54.26,,85.36,,146.07,,4.49,,8.41,,14.06,,15.94,,30.0,60.0,33.22375,-108.24031,5767
291002,BARTLEY,8/22/2026,F,X,127,0.58,32.75,,57.59,,55.91,,122.85,,6.19,,8.34,,12.54,,13.68,,116.72,115.18,35.90875,-105.38769,9192
20508,HUMBUG CREEK,8/22/2026,F,X,265,0.19,60.46,,107.38,,90.31,,205.32,,4.67,,5.36,,8.4,,10.49,,30.0,60.0,34.11,-112.3,5250
290201,STONE LAKE,8/22/2026,F,X,487,0.07,56.45,,142.2,,85.1,,226.82,,4.95,,7.69,,11.57,,12.12,,30.0,60.0,36.73161,-106.86581,7436
292904,SAN ANDRES,8/22/2026,F,X,493,0.09,50.42,,56.61,,94.77,,155.3,,3.83,,4.84,,7.49,,9.58,,30.0,60.0,32.58008,-106.52719,6137
290102,ALBINO CANYON,8/22/2026,F,X,485,0.03,56.17,,155.01,,84.75,,235.77,,4.99,,7.71,,8.97,,9.83,,30.0,60.0,36.97661,-107.62892,7173
20612,PINE,8/22/2026,F,X,464,0.16,41.18,,53.49,,85.79,,144.13,,4.97,,7.07,,10.63,,12.52,,30.0,60.0,34.37181,-111.4555,5313
20216,WARM SPRINGS CANYON,8/22/2026,F,X,349,0.42,46.59,,72.21,,76.99,,158.94,,4.93,,6.9,,11.23,,13.19,,67.28,83.72,36.70117,-112.22689,7953
290706,SANDIA LAKES,8/22/2026,F,X,678,0.0,62.47,,97.15,,89.44,,195.21,,4.32,,6.71,,10.03,,10.96,,30.0,60.0,35.22967,-106.59061,5027
55522341,PICACHO PEAK,8/22/2026,F,X,725,0.0,56.99,,66.48,,94.5,,167.64,,3.86,,5.06,,7.7,,9.13,,30.0,60.0,32.66314,-111.42154,1750
20120,TRUXTON CANYON,8/22/2026,F,X,273,0.17,64.11,,109.29,,93.13,,208.53,,4.17,,4.89,,7.79,,10.0,,30.0,60.0,35.78013,-113.79563,5304
20109,TWEEDS POINT,8/22/2026,F,X,556,0.04,71.18,,165.82,,96.2,,257.27,,3.65,,4.42,,7.04,,8.93,,30.0,60.0,36.58186,-113.732,5334
293002,MAYHILL,8/22/2026,F,X,467,0.13,47.28,,55.64,,90.38,,151.12,,4.17,,6.35,,10.75,,13.58,,30.0,60.0,32.90947,-105.46981,6599
292009,PELONA MOUNTAIN,8/22/2026,F,X,239,0.45,31.26,,57.17,,69.11,,133.72,,5.57,,8.47,,11.45,,13.26,,76.27,89.44,33.69375,-108.06161,7955
20207,TUSAYAN,8/22/2026,F,X,353,0.22,32.2,,30.32,,87.2,,112.08,,4.57,,7.0,,12.34,,14.83,,30.0,60.0,35.98833,-112.12056,6570
292301,EIGHT MILE DRAW,8/22/2026,F,X,607,0.0,83.48,,173.46,,99.44,,267.6,,2.88,,4.49,,7.76,,8.95,,30.0,60.0,33.65064,-104.32139,3626
20107,MOUNT LOGAN,8/22/2026,F,X,157,0.5,38.24,,59.82,,70.33,,136.92,,5.12,,6.13,,9.21,,11.35,,94.24,100.88,36.35306,-113.19917,7605
20108,OLAF KNOLLS,8/22/2026,F,X,632,0.02,84.7,,117.43,,101.32,,223.97,,2.81,,3.6,,5.91,,7.7,,30.0,60.0,36.50725,-113.81589,2974
291501,MOUNTAINAIR,8/22/2026,F,X,472,0.08,62.47,,104.13,,90.28,,195.47,,4.15,,6.66,,10.61,,12.44,,30.0,60.0,34.52081,-106.26269,6593
55522384,TANKS,8/22/2026,F,X,306,0.29,48.27,,125.16,,85.47,,212.5,,5.14,,6.81,,11.52,,13.68,,30.0,60.0,33.67314,-110.57431,5801
20212,DRY PARK,8/22/2026,F,X,100,0.68,29.88,,37.16,,50.7,,96.59,,5.54,,7.41,,11.42,,14.04,,149.98,136.35,36.45308,-112.23819,8700
20220,LINDBERGH HILL,8/22/2026,F,X,400,0.46,37.31,,57.31,,71.75,,136.61,,5.33,,6.9,,10.32,,12.32,,80.59,92.2,36.28556,-112.07861,8800
292105,SEVILLETA,8/22/2026,F,X,558,0.0,68.99,,99.98,,92.57,,200.95,,3.76,,6.18,,10.18,,11.51,,30.0,60.0,34.35844,-106.6895,5246
20117,HURRICANE,8/22/2026,F,X,412,0.18,70.57,,138.04,,94.34,,234.97,,3.73,,5.16,,8.65,,10.6,,30.0,60.0,36.69908,-113.20731,5445
55522315,MIDNIGHT,8/22/2026,F,X,72,0.83,12.36,,12.12,,27.7,,43.66,,7.18,,10.91,,16.57,,16.94,,197.38,166.51,36.77819,-105.34131,10815
20118,HAVASU,8/22/2026,F,X,657,0.0,86.27,,94.28,,101.91,,203.96,,2.63,,3.85,,6.93,,8.69,,30.0,60.0,34.80758,-114.53456,475
20114,BLACK ROCK,8/22/2026,F,X,198,0.4,35.48,,42.8,,82.28,,126.53,,4.63,,5.59,,8.6,,11.18,,60.96,79.7,36.79436,-113.75056,7224
292013,MOGOLLON,8/22/2026,F,X,165,0.39,43.74,,67.92,,78.76,,156.16,,5.02,,7.26,,10.7,,12.32,,56.93,77.14,33.39064,-108.80819,7602
20501,IRON SPRINGS,8/22/2026,F,X,384,0.22,42.46,,54.19,,88.0,,148.13,,4.82,,6.43,,10.26,,12.86,,30.0,60.0,34.59361,-112.51139,5385
293003,MESCAL,8/22/2026,F,X,217,0.32,40.79,,59.15,,84.57,,149.28,,4.97,,7.07,,12.16,,15.49,,36.38,64.06,33.15803,-105.76881,6227
291901,MELROSE RANGE,8/22/2026,F,X,654,0.0,79.0,,156.49,,97.69,,253.13,,3.14,,4.84,,8.43,,9.78,,30.0,60.0,34.28422,-103.71497,4263
292103,BOSQUE,8/22/2026,F,X,670,0.0,60.15,,68.48,,93.44,,168.8,,3.5,,6.2,,9.97,,11.52,,30.0,60.0,33.82064,-106.88169,4523
20606,TONTO BASIN,8/22/2026,F,X,603,0.0,61.55,,137.28,,96.0,,224.3,,3.53,,4.89,,7.98,,9.48,,30.0,60.0,33.86861,-111.31333,2414
20301,HEBER,8/22/2026,F,X,225,0.29,33.7,,51.48,,80.14,,138.36,,5.93,,8.11,,12.6,,14.9,,30.0,60.0,34.39778,-110.56444,6635
291202,PECOS,8/22/2026,F,X,81,0.36,55.13,,132.03,,80.44,,209.04,,5.01,,7.8,,11.56,,12.62,,48.53,71.79,35.54558,-105.49439,8229
292102,CHUPADERA,8/22/2026,F,X,519,0.01,71.57,,138.39,,94.1,,235.15,,3.68,,5.56,,9.45,,10.74,,30.0,60.0,33.77294,-106.0985,5580
20113,NIXON FLATS,8/22/2026,F,X,307,0.26,46.14,,64.03,,88.3,,160.14,,4.65,,6.41,,11.59,,13.82,,30.0,60.0,36.38833,-113.15806,6500
291101,MILLS CANYON,8/22/2026,F,X,540,0.09,63.35,,141.81,,87.32,,224.5,,4.46,,7.35,,9.95,,11.88,,30.0,60.0,36.05453,-104.32511,5881
55522257,DUTCH KID,8/22/2026,F,X,115,0.28,49.35,,82.51,,85.16,,175.9,,5.04,,7.05,,12.9,,15.81,,30.0,60.0,35.12931,-112.28219,6505
292012,DATIL,8/22/2026,F,X,178,0.5,18.9,,48.38,,61.53,,84.36,,6.24,,9.73,,12.88,,14.36,,92.15,99.55,34.29256,-107.768,8431
293105,QUEEN,8/22/2026,F,X,370,0.05,69.6,,137.41,,93.83,,234.06,,3.82,,5.15,,7.88,,9.69,,30.0,60.0,32.20361,-104.69031,5642
290202,COYOTE,8/22/2026,F,X,216,0.35,22.7,,69.89,,58.01,,124.62,,8.4,,12.95,,14.49,,14.02,,47.17,70.92,36.07333,-106.65739,8704
293004,COSMIC,8/22/2026,F,X,71,0.84,12.65,,9.78,,35.06,,40.14,,6.04,,7.31,,11.63,,13.78,,199.84,168.08,32.77925,-105.81989,9172
20115,MOSS BASIN,8/22/2026,F,X,399,0.27,62.15,,108.29,,90.65,,205.77,,4.46,,5.51,,10.06,,12.71,,30.0,60.0,35.03397,-113.89406,5920
20312,HOPI,8/22/2026,F,X,476,0.07,68.57,,111.17,,91.65,,210.04,,3.91,,6.15,,10.66,,12.24,,30.0,60.0,35.86292,-110.61495,5579
293104,CAPROCK,8/22/2026,F,X,493,0.0,72.73,,166.4,,95.02,,257.09,,3.63,,5.17,,7.55,,8.78,,30.0,60.0,32.92728,-103.85689,4167
292008,SLAUGHTER,8/22/2026,F,X,22,0.65,26.54,,60.66,,46.05,,111.36,,6.63,,9.12,,13.57,,15.63,,139.0,129.36,34.06056,-108.44472,8680
21504,BELMONT,8/22/2026,F,X,693,0.01,69.14,,110.11,,98.64,,212.24,,3.32,,3.97,,6.25,,8.15,,30.0,60.0,33.67411,-112.92281,1813
20121,CIBOLA,8/22/2026,F,X,749,0.0,83.59,,116.31,,99.47,,222.69,,3.14,,3.82,,6.89,,8.54,,30.0,60.0,33.28,-114.68489,252
20610,RED LAKE,8/22/2026,F,X,100,0.37,20.12,,19.16,,73.97,,82.86,,5.83,,8.62,,15.18,,17.77,,52.31,74.2,34.18133,-110.78919,6524
55523735,RED CANYON,8/22/2026,F,X,300,0.27,50.72,,93.64,,83.75,,186.21,,5.06,,8.43,,11.57,,11.78,,30.0,60.0,34.62289,-106.40831,8070
21206,SASABE,8/22/2026,F,X,610,0.05,43.5,,53.87,,84.48,,144.97,,4.88,,8.89,,12.14,,13.83,,30.0,60.0,31.69169,-111.44811,3500
292001,BEAVERHEAD,8/22/2026,F,X,183,0.24,38.25,,61.33,,83.09,,151.82,,5.12,,8.33,,14.64,,17.04,,30.0,60.0,33.42353,-108.11019,6750
55523738,T BAR,8/22/2026,F,X,28,0.58,28.67,,50.31,,55.29,,113.52,,5.99,,8.86,,15.03,,17.76,,117.43,115.64,33.51789,-108.52419,8047
292004,LUNA,8/22/2026,F,X,264,0.3,47.24,,101.17,,81.01,,189.74,,5.48,,8.4,,15.02,,17.6,,30.67,60.43,33.82289,-108.94311,7088
20608,SAN CARLOS #1,8/22/2026,F,X,611,0.01,74.59,,148.52,,97.84,,242.58,,3.17,,4.56,,7.48,,9.01,,30.0,60.0,33.37165,-110.45683,2830
21205,EMPIRE,8/22/2026,F,X,287,0.17,40.17,,45.58,,86.11,,135.44,,4.71,,8.21,,11.13,,13.82,,30.0,60.0,31.78347,-110.64325,4650
293304,LAGUNA,8/22/2026,F,X,546,0.01,55.29,,98.11,,89.04,,185.86,,4.4,,6.53,,9.72,,10.12,,30.0,60.0,35.05197,-107.42028,5805
20402,PINEY HILL,8/22/2026,F,X,188,0.36,28.06,,43.3,,74.31,,119.38,,5.91,,9.66,,11.08,,12.41,,49.92,72.68,35.76111,-109.16719,8061
20284,GREENBASE,8/22/2026,F,X,229,0.4,37.03,,56.28,,74.0,,139.18,,5.58,,7.66,,13.31,,16.53,,62.09,80.42,35.27619,-112.06325,6923
55523737,SOWATS,8/22/2026,F,X,161,0.3,53.68,,84.61,,88.66,,182.4,,4.65,,6.34,,9.56,,12.28,,30.0,60.0,36.48242,-112.42281,7038
20401,ALPINE,8/22/2026,F,X,86,0.66,18.47,,20.31,,46.2,,70.12,,6.53,,8.67,,13.34,,15.46,,141.87,131.19,33.84272,-109.11161,8207
55522344,PINEDALE,8/22/2026,F,X,260,0.25,37.46,,52.55,,81.97,,141.31,,5.44,,8.55,,12.72,,14.02,,30.0,60.0,34.30617,-110.23661,6461
55523718,CEDAR RIDGE,8/22/2026,F,X,330,0.13,57.42,,76.1,,92.34,,177.04,,4.12,,5.71,,8.6,,10.29,,30.0,60.0,32.59872,-110.76231,4735
21105,TRAIL CABIN,8/22/2026,F,X,419,0.16,52.62,,74.45,,90.05,,170.86,,4.21,,6.38,,9.89,,11.7,,30.0,60.0,33.26478,-109.36789,6250
290210,TRUCHAS,8/22/2026,F,X,249,0.17,48.28,,102.06,,80.83,,190.54,,5.69,,8.33,,13.63,,14.25,,30.0,60.0,36.059,-105.7695,8353
20209,FLAGSTAFF,8/22/2026,F,X,289,0.37,33.49,,44.68,,77.18,,127.61,,5.45,,7.66,,11.99,,14.34,,52.02,74.01,35.14111,-111.6725,6903
20226,PARIA POINT,8/22/2026,F,X,402,0.24,43.2,,54.71,,89.6,,150.02,,4.63,,5.88,,9.22,,10.62,,30.0,60.0,36.72753,-111.822,7106
290702,JEMEZ,8/22/2026,F,X,315,0.24,34.72,,95.76,,76.64,,177.96,,6.94,,8.48,,12.34,,13.87,,30.0,60.0,35.84114,-106.61969,8248
